Week	B300_25	B300_50	B300_75	B400_25	B400_50	B400_75	B500_25	B500_50	B500_75	Control	Mulch25	Mulch50	Mulch75
WC_one	0.1037	0.0586	0.0865	0.1331	0.0675	0.14	0.2393	0.0859	0.2138	0.1085	0.1089	0.0451	0.0348
 WC_two	0.0869	0.0623	0.0893	0.0948	0.0934	0.1115	0.1094	0.1039	0.1154	0.0403	0.0546	0.0546	0.0447
WC_three	0.0456	0.0443	0.0494	0.0479	0.0659	0.0993	0.0486	0.0727	0.2645	0.0552	0.2367	0.0208	0.0241
WC_four	0.0357	0.0617	0.0609	0.0662	0.0856	0.0981	0.0534	0.0791	0.1053	0.0503	0.0259	0.0264	0.0311
WC_five	0.0792	0.0888	0.1683	0.1013	0.0955	0.1064	0.1067	0.09398	0.117	0.0478	0.0651	0.06311	0.039
WC_six	0.0666	0.0611	0.0617	0.0667	0.0875	0.0982	0.0535	0.0784	0.105	0.0495	0.0378	0.0274	0.0329
WC_seven	0.1014	0.0943	0.0822	0.0996	0.1008	0.1344	0.103	0.1139	0.2064	0.1051	0.0605	0.0571	0.0361
WC_eight	0.0366	0.1092	0.1383	0.0581	0.1998	0.1345	0.1208	0.1051	0.1399	0.0628	0.0378	0.0316	0.0159
													
													
Week	B300_25	B300_50	B300_75	B400_25	B400_50	B400_75	B500_25	B500_50	B500_75	Control	Mulch25	Mulch50	Mulch75
Temp_one	27.09	27.96	27.87	27.16	27.88	27.9	27.21	27.93	27.92	26	27.09	27.39	27.88
Temp_two	27.18	29.87	28.12	26.59	29.82	27.21	26.7	29.89	29.9	30.74	26.61	29.79	28.78
Temp_three	28.77	28.56	29.05	28.84	28.6	28.9	28.78	28.45	28.96	29.54	28.9	28.52	28.95
 Temp_four	33.88	33.7	33.52	34.24	33.42	33.68	34.33	33.54	33.61	35.06	34.48	33.62	33.62
Temp_five	28.87	31.03	32.27	28.94	30.59	32.03	28.91	30.86	32.71	31.01	28.84	30.71	32.04
Temp_six	23.8	23.54	23.35	23.33	23.07	23.14	24.01	23.7	23.15	22.45	22.17	23.58	23.61
Temp_seven	26.94	29.75	27.92	26.95	29.74	27.91	26.78	29.79	27.97	30.64	27.32	29.9	27.92
Temp_eight	28.71	28.44	28.75	28.92	28.21	28.85	28.77	28.36	28.84	29.34	28.79	28.38	28.57
