date hour,10cm,25cm,70cm,135cm
1,20.3,20.4,19.8,18
2,20.3,20.5,19.8,18.1
3,20.3,20.4,19.7,18
4,20.4,20.3,19.7,18
5,20.5,20.2,19.7,18.1
6,20.8,20.2,19.7,18
7,20.9,20.2,19.8,18
8,21.2,20.2,19.8,18
9,21.4,20.2,19.8,18
10,21.5,20.2,19.8,18.1
11,21.6,20.3,19.8,18
12,21.8,20.3,19.9,18
13,21.8,20.5,19.9,18.1
14,21.7,20.6,19.9,18.1
15,21.7,20.6,19.9,18.1
16,21.8,20.7,19.9,18.1
17,20.6,20.7,19.9,18.1
18,20.6,20.8,19.8,18.1
19,20.6,20.6,19.9,18.1
20,20.7,20.5,19.9,18.1
21,20.9,20.4,19.9,18
22,21.2,20.4,19.9,18.1
23,21.5,20.4,19.9,18.1
24,21.8,20.4,19.9,18.1
25,21.8,20.4,19.9,18.1
26,22,20.6,19.9,18.1
27,22.1,20.6,19.9,18.1
28,22.1,20.6,20,18
29,22.2,20.8,20,18.1
30,22.2,20.9,19.9,18.1
31,22.1,20.9,20,18.1
32,20.9,21,20,18.1
33,20.8,21,19.9,18.1
34,20.8,20.9,19.9,18.1
35,20.9,20.8,20,18.1
36,21.1,20.7,20,18.1
37,21.3,20.7,20,18
38,21.4,20.7,19.9,18.1
39,21.8,20.6,20,18.1
40,22,20.7,20,18.1
41,22.1,20.7,20,18.1
42,22.2,20.8,20,18.2
43,22.3,20.8,20,18.1
44,22.4,21,20.1,18.1
45,22.5,21,20.1,18.1
46,22.4,21.1,20.1,18.1
47,22.4,21.2,20.1,18.2
48,21.3,21.3,20.1,18.1
49,21.3,21.3,20.1,18.1
50,21.3,21.2,20.1,18.2
51,21.3,21.1,20.1,18.2
52,21.5,21.1,20.1,18.2
53,21.7,21,20.1,18.1
54,21.9,21,20.1,18.1
55,22.2,20.9,20.1,18.1
56,22.5,21,20.2,18.1
57,22.6,21.1,20.2,18.2
58,22.8,21.2,20.2,18.2
59,22.8,21.2,20.2,18.2
60,22.9,21.3,20.3,18.2
61,22.9,21.4,20.3,18.1
62,22.9,21.4,20.3,18.2
63,22.7,21.5,20.2,18.2
64,21.7,21.6,20.3,18.1
65,21.7,21.6,20.3,18.2
66,21.6,21.5,20.3,18.2
67,21.7,21.4,20.3,18.2
68,21.8,21.4,20.3,18.1
69,22,21.3,20.3,18.2
70,22.3,21.3,20.3,18.2
71,22.5,21.2,20.3,18.1
72,22.8,21.3,20.3,18.1
73,22.9,21.4,20.3,18.2
74,23,21.4,20.3,18.2
75,23,21.5,20.4,18.2
76,23.1,21.7,20.4,18.2
77,23.1,21.7,20.4,18.2
78,23.1,21.7,20.4,18.2
79,21.8,21.8,20.4,18.2
80,21.8,21.9,20.4,18.3
81,21.7,21.7,20.4,18.2
82,21.7,21.6,20.4,18.3
83,21.8,21.6,20.5,18.2
84,22,21.5,20.4,18.2
85,22.4,21.5,20.4,18.2
86,22.6,21.4,20.4,18.2
87,22.9,21.5,20.4,18.2
88,23,21.5,20.5,18.2
89,23.2,21.6,20.5,18.2
90,23.1,21.6,20.5,18.2
91,23.2,21.7,20.6,18.3
92,23.2,21.8,20.6,18.2
93,23.2,21.9,20.5,18.2
94,23.1,21.9,20.5,18.2
95,21.8,22,20.5,18.2
96,21.9,22,20.6,18.3
97,21.9,21.7,20.6,18.3
98,21.9,21.7,20.6,18.3
99,22.2,21.6,20.6,18.3
100,22.6,21.6,20.6,18.3
101,22.8,21.6,20.6,18.2
102,23,21.6,20.6,18.2
103,23.2,21.7,20.6,18.3
104,23.2,21.7,20.7,18.3
105,23.2,21.8,20.6,18.2
106,23.3,21.9,20.7,18.3
107,23.3,21.9,20.7,18.3
108,23.2,22,20.7,18.3
109,23.1,22.1,20.7,18.3
110,21.9,22.1,20.7,18.4
111,21.9,22.1,20.7,18.3
112,21.9,21.9,20.7,18.4
113,21.9,21.8,20.7,18.3
114,22.1,21.8,20.7,18.3
115,22.3,21.7,20.7,18.3
116,22.6,21.6,20.7,18.3
117,22.8,21.7,20.7,18.4
118,23,21.6,20.8,18.4
119,23.1,21.7,20.7,18.3
120,23.3,21.8,20.8,18.3
121,23.3,21.9,20.8,18.4
122,23.3,21.9,20.8,18.3
123,23.2,22,20.8,18.4
124,23.1,22.1,20.8,18.4
125,23.1,22.1,20.8,18.3
126,21.6,22.2,20.8,18.3
127,21.6,22.2,20.7,18.4
128,21.6,21.8,20.8,18.5
129,21.6,21.8,20.8,18.4
130,21.7,21.7,20.8,18.5
131,21.9,21.6,20.8,18.4
132,22.1,21.5,20.7,18.4
133,22.2,21.5,20.8,18.4
134,22.4,21.6,20.8,18.4
135,22.5,21.5,20.9,18.4
136,22.6,21.6,20.7,18.4
137,22.8,21.6,20.8,18.5
138,22.7,21.7,20.8,18.4
139,22.8,21.8,20.7,18.4
140,22.8,21.8,20.8,18.4
141,22.8,21.9,20.8,18.5
142,22.1,21.9,20.8,18.4
143,22,21.9,20.8,18.4
144,22.1,21.9,20.8,18.5
145,22,21.7,20.8,18.5
146,22.1,21.7,20.8,18.5
147,22.1,21.7,20.9,18.4
148,22.2,21.7,20.8,18.5
149,22.4,21.7,20.8,18.4
150,22.4,21.7,20.8,18.5
