Date	Hour	Temp [C]	Prec [mm]	RHave [%]	Wind [m/s]	Rad (W/m^2)
01/01/2013	00	-2	0	93	2.6	0
01/01/2013	01	-2.5	0	93	2.3	1.6
01/01/2013	02	-2.4	0	92	2	0
01/01/2013	03	-2.4	0	93	1.8	0
01/01/2013	04	-2.4	0	93	1.4	0
01/01/2013	05	-3.1	0	94	0.7	0
01/01/2013	06	-3.9	0	94	0.9	0
01/01/2013	07	-4.2	0	94	1.2	0
01/01/2013	08	-3.4	0	93	0.8	72
01/01/2013	09	-1	0	90	1.3	217.9
01/01/2013	10	2.3	0	82	1	289.4
01/01/2013	11	4.4	0	75	2.1	372
01/01/2013	12	5.7	0.2	73	2	418.2
01/01/2013	13	7.3	0	66	1.9	352.2
01/01/2013	14	7.6	0	65	1.5	252
01/01/2013	15	7.6	0	64	0.7	122.3
01/01/2013	16	5.8	0	71	1.9	7.6
01/01/2013	17	3.4	0	80	1.4	0
01/01/2013	18	2.7	0	82	1.9	0
01/01/2013	19	2.7	0	84	1.3	0
01/01/2013	20	2.5	0	84	1.5	0.5
01/01/2013	21	2.6	0	85	2.3	0
01/01/2013	22	2.8	0	87	1.3	0
02/01/2013	23	2.2	0	89	0.4	0
02/01/2013	00	1.6	0	91	1.1	0
02/01/2013	01	1.9	0.4	92	0.2	0
02/01/2013	02	2.2	0.2	92	1.7	2.5
02/01/2013	03	2.3	0	92	2.4	0
02/01/2013	04	2.6	0.8	92	1.8	6.2
02/01/2013	05	2.7	0.6	92	2	0
02/01/2013	06	2.7	1	92	1.3	2.1
02/01/2013	07	2.8	1	92	1.3	0
02/01/2013	08	2.9	0.8	92	2.1	0
02/01/2013	09	3	0.6	92	2.9	15.7
02/01/2013	10	3.3	1.2	92	2.8	25.8
02/01/2013	11	3.6	1.6	92	3.3	26.5
02/01/2013	12	3.8	1	92	3.5	28.6
02/01/2013	13	4	1	92	3.6	18.5
02/01/2013	14	4.1	1.8	92	4.1	12
02/01/2013	15	4.2	0.8	92	4.5	5.1
02/01/2013	16	3.7	0.2	92	4.8	0
02/01/2013	17	3.2	0.6	91	4.5	0
02/01/2013	18	3.2	0.2	91	3.5	0
02/01/2013	19	3.3	0	91	4.4	6
02/01/2013	20	3.5	0	90	4.4	0
02/01/2013	21	3.6	0	90	4.7	0
02/01/2013	22	3.7	0	91	4.7	3.7
03/01/2013	23	3.9	0	91	5.2	0
03/01/2013	00	4.1	0	91	4.6	0
03/01/2013	01	4.2	0	90	5.5	2.1
03/01/2013	02	4.3	0	90	4.9	0
03/01/2013	03	4.4	0	90	4.5	0
03/01/2013	04	4.7	0	90	4.2	9.2
03/01/2013	05	4.9	0	90	4.2	0
03/01/2013	06	4.8	0	90	2.8	0
03/01/2013	07	4.2	0	91	3.1	0
03/01/2013	08	3.4	0	92	2.7	30.7
03/01/2013	09	5.1	0	89	4.1	189
03/01/2013	10	7.4	0	81	5.8	309.7
03/01/2013	11	8.4	0	78	4.6	378
03/01/2013	12	9.2	0	75	4.4	395.8
03/01/2013	13	9.9	0	73	4.2	373.6
03/01/2013	14	10.3	0	71	3.4	275.8
03/01/2013	15	10.1	0	72	2.5	143.1
03/01/2013	16	8.1	0	81	1.1	21.7
03/01/2013	17	5.6	0	87	2.2	0
03/01/2013	18	4	0	90	1	0.2
03/01/2013	19	3.3	0	92	0.5	0.2
03/01/2013	20	1.4	0	93	1	0.9
03/01/2013	21	0.6	0	93	1.5	1.6
03/01/2013	22	1.4	0	93	1.4	0
04/01/2013	23	1	0	93	1.6	2.8
04/01/2013	00	1	0	93	1.9	0.2
04/01/2013	01	1.3	0	93	1	0
04/01/2013	02	0.6	0	93	1.2	0
04/01/2013	03	0	0	94	1.6	0
04/01/2013	04	0	0	94	1.1	0
04/01/2013	05	0.4	0	94	0.3	0
04/01/2013	06	0.1	0	94	0.3	0
04/01/2013	07	0.1	0	94	0.9	0
04/01/2013	08	-0.4	0	94	1.7	61.8
04/01/2013	09	2.3	0	93	1.3	180.9
