time [hr], 0.0 [m], 0.1 [m], 0.3 [m]
8.125,20.164,20.000,20.000,
8.375,20.490,20.001,20.000,
8.875,21.135,20.014,20.000,
9.875,22.357,20.116,20.000,
10.875,23.418,20.296,20.002,
11.875,24.246,20.538,20.005,
12.875,24.785,20.815,20.012,
13.875,24.997,21.099,20.023,
14.875,24.869,21.360,20.039,
15.875,24.410,21.569,20.060,
16.875,23.649,21.707,20.086,
17.875,22.640,21.759,20.116,
18.875,21.451,21.720,20.149,
19.875,20.164,21.591,20.184,
20.875,18.865,21.381,20.217,
21.875,17.643,21.107,20.249,
22.875,16.582,20.784,20.275,
23.875,15.754,20.435,20.296,
24.875,15.215,20.079,20.309,
25.875,15.003,19.738,20.314,
26.875,15.131,19.431,20.311,
27.875,15.590,19.177,20.300,
28.875,16.351,18.988,20.282,
29.875,17.360,18.879,20.257,
30.875,18.549,18.856,20.228,
31.875,19.836,18.923,20.196,
32.875,21.135,19.078,20.163,
33.875,22.357,19.312,20.131,
34.875,23.418,19.611,20.102,
35.875,24.246,19.954,20.077,
36.875,24.785,20.316,20.059,
37.875,24.997,20.671,20.049,
38.875,24.869,20.990,20.046,
39.875,24.410,21.249,20.052,
40.875,23.649,21.427,20.066,
41.875,22.640,21.513,20.086,
42.875,21.451,21.502,20.111,
43.875,20.164,21.397,20.139,
44.875,18.865,21.208,20.169,
45.875,17.643,20.950,20.197,
46.875,16.582,20.643,20.221,
47.875,15.754,20.306,20.240,
48.875,15.215,19.961,20.253,
49.875,15.003,19.630,20.258,
50.875,15.131,19.332,20.255,
51.875,15.590,19.084,20.245,
52.875,16.351,18.903,20.227,
53.875,17.360,18.800,20.204,
54.875,18.549,18.783,20.176,
55.875,19.836,18.855,20.145,
56.000,20.000,18.865,20.141,
